state-city,start_zipcode,end_zipcode
AL-New Hope,35760,35760
AL-New Market,35761,35761
AL-Newbern,36765,36765
AL-Newton,36352,36352
AL-Newville,36353,36353
AL-Normal,35762,35762
AL-Northport,35473,35476
AL-Notasulga,36866,36866
AL-Oak Hill,36766,36766
AL-Oakman,35579,35579
AL-Odenville,35120,35120
AL-Ohatchee,36271,36271
AL-Oneonta,35121,35121
AL-Opelika,36801,36804
AL-Opp,36467,36467
AL-Orange Beach,36561,36561
AL-Orrville,36767,36767
AL-Owens Cross Roads,35763,35763
AL-Oxford,36203,36203
AL-Ozark,36360,36361
AL-Paint Rock,35764,35764
AL-Palmerdale,35123,35123
AL-Panola,35477,35477
AL-Pansey,36370,36370
AL-Parrish,35580,35580
AL-Pelham,35124,35124
AL-Pell City,35125,35128
AL-Pennington,36916,36916
AL-Perdido,36562,36562
AL-Perdue Hill,36470,36470
AL-Perote,36061,36061
AL-Peterman,36471,36471
AL-Peterson,35478,35478
AL-Petrey,36062,36062
AL-Phenix City,36867,36870
AL-Phil Campbell,35581,35581
AL-Piedmont,36272,36272
AL-Pike Road,36064,36064
AL-Pinckard,36371,36371
AL-Pine Apple,36768,36768
AL-Pine Hill,36769,36769
AL-Pine Level,36065,36065
AL-Pinson,35126,35126
AL-Pisgah,35765,35765
AL-Pittsview,36871,36871
AL-Plantersville,36758,36758
AL-Pleasant Grove,35127,35127
AL-Point Clear,36564,36564
AL-Prattville,36066,36068
AL-Princeton,35766,35766
AL-Quinton,35130,35130
AL-Ragland,35131,35131
AL-Rainbow City,35906,35906
AL-Rainsville,35986,35986
AL-Ralph,35480,35480
AL-Ramer,36069,36069
AL-Ranburne,36273,36273
AL-Randolph,36792,36792
AL-Range,36473,36473
AL-Red Bay,35582,35582
AL-Red Level,36474,36474
AL-Reform,35481,35481
AL-Remlap,35133,35133
AL-Repton,36475,36475
AL-River Falls,36476,36476
AL-Riverside,35135,35135
AL-Roanoke,36274,36274
AL-Robertsdale,36567,36567
AL-Rockford,35136,35136
AL-Rogersville,35652,35652
AL-Russellville,35653,35654
AL-Rutledge,36071,36071
AL-Ryland,35767,35767
AL-Safford,36773,36773
AL-Saginaw,35137,35137
AL-Saint Elmo,36568,36568
AL-Saint Stephens,36569,36569
AL-Salem,36874,36874
AL-Samantha,35482,35482
AL-Samson,36477,36477
AL-Saraland,36571,36571
AL-Sardis,36775,36775
AL-Satsuma,36572,36572
AL-Sawyerville,36776,36776
AL-Sayre,35139,35139
AL-Scottsboro,35768,35769
AL-Seale,36875,36875
AL-Section,35771,35771
AL-Selma,36701,36703
AL-Seminole,36574,36574
AL-Semmes,36575,36575
AL-Shannon,35142,35142
AL-Sheffield,35660,35660
AL-Shelby,35143,35143
AL-Shorter,36075,36075
AL-Shorterville,36373,36373
AL-Silas,36919,36919
AL-Siluria,35144,35144
AL-Silverhill,36576,36576
AL-Sipsey,35584,35584
AL-Skipperville,36374,36374
AL-Slocomb,36375,36375
AL-Smiths Station,36877,36877
AL-Somerville,35670,35670
AL-Spanish Fort,36527,36577
AL-Spring Garden,36275,36275
AL-Springville,35146,35146
AL-Spruce Pine,35585,35585
AL-Stanton,36790,36790
AL-Stapleton,36578,36578
AL-Steele,35987,35987
AL-Sterrett,35147,35147
AL-Stevenson,35772,35772
AL-Stockton,36579,36579
AL-Sulligent,35586,35586
AL-Sumiton,35148,35148
AL-Summerdale,36580,36580
AL-Sunflower,36581,36581
AL-Sweet Water,36782,36782
AL-Sycamore,35149,35149
AL-Sylacauga,35150,35151
AL-Sylvania,35988,35988
AL-Talladega,35160,35161
